vehicle,type,fuel,official_mileage,condition,distance_km,avg_speed_kmph,duration_hr,real_mileage,fuel_used_litre
Hyundai Creta,Car,Diesel,21,City_Moderate,121,47.56,2.54,15.28,7.92
Hyundai Creta,Car,Diesel,21,City_Heavy,404,29.83,13.55,8.68,46.55
Honda Activa,Bike,Petrol,50,Highway_Light,429,76.88,5.58,49.1,8.74
Honda Activa,Bike,Petrol,50,City_Moderate,325,27.11,11.99,32.95,9.86
Honda Activa,Bike,Petrol,50,Highway_Light,361,64.92,5.56,47.0,7.68
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,227,54.0,4.2,36.53,6.21
Honda Activa,Bike,Petrol,50,Highway_Light,298,93.82,3.18,49.08,6.07
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,150,18.08,8.3,18.85,7.96
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,77,16.13,4.77,14.54,5.29
Hyundai Creta,Car,Diesel,21,Highway_Light,192,69.05,2.78,20.56,9.34
Hyundai Creta,Car,Diesel,21,City_Heavy,199,27.15,7.33,10.01,19.87
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,67,11.98,5.59,26.25,2.55
Toyota Innova,Car,Diesel,15,Mixed,164,51.14,3.21,13.17,12.45
Hyundai Creta,Car,Diesel,21,Mixed,104,51.79,2.01,17.22,6.04
Hyundai Creta,Car,Diesel,21,City_Moderate,294,29.17,10.08,14.81,19.85
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,200,41.34,4.84,27.51,7.27
Honda Activa,Bike,Petrol,50,Mixed,51,44.63,1.14,42.62,1.2
Honda Activa,Bike,Petrol,50,Mixed,448,51.37,8.72,35.25,12.71
Toyota Innova,Car,Diesel,15,City_Heavy,499,11.43,43.64,6.02,82.89
Maruti Swift,Car,Petrol,22,City_Heavy,309,12.03,25.7,10.6,29.14
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,396,50.94,7.77,30.43,13.01
Toyota Innova,Car,Diesel,15,Highway_Light,208,82.39,2.52,13.83,15.04
Hyundai Creta,Car,Diesel,21,Highway_Light,117,65.62,1.78,19.12,6.12
Hyundai Creta,Car,Diesel,21,City_Moderate,380,49.44,7.69,14.64,25.96
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,49,51.53,0.95,28.22,1.74
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,367,17.76,20.66,18.35,20.0
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,310,49.4,6.28,25.62,12.1
Honda Activa,Bike,Petrol,50,City_Moderate,249,32.23,7.73,31.47,7.91
Honda Activa,Bike,Petrol,50,City_Moderate,129,34.26,3.77,39.0,3.31
Toyota Innova,Car,Diesel,15,Mixed,39,66.65,0.59,11.62,3.36
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,205,99.36,2.06,43.21,4.74
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,435,13.03,33.38,16.02,27.16
Toyota Innova,Car,Diesel,15,City_Heavy,228,16.81,13.57,6.09,37.42
Maruti Swift,Car,Petrol,22,Highway_Light,169,79.12,2.14,20.99,8.05
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,369,62.86,5.87,28.23,13.07
Maruti Swift,Car,Petrol,22,Mixed,439,50.69,8.66,19.07,23.02
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,113,45.84,2.47,38.94,2.9
Hyundai Creta,Car,Diesel,21,Highway_Light,434,87.1,4.98,19.02,22.82
Honda Activa,Bike,Petrol,50,City_Heavy,143,21.15,6.76,22.35,6.4
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,96,83.32,1.15,42.06,2.28
Toyota Innova,Car,Diesel,15,City_Moderate,401,40.66,9.86,12.0,33.42
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,439,25.65,17.12,17.42,25.2
Maruti Swift,Car,Petrol,22,Mixed,342,58.7,5.83,18.63,18.36
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,254,53.84,4.72,28.49,8.92
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,12,41.18,0.29,29.62,0.41
Honda Activa,Bike,Petrol,50,City_Heavy,168,28.14,5.97,24.76,6.79
Maruti Swift,Car,Petrol,22,Mixed,95,67.28,1.41,15.98,5.94
Honda Activa,Bike,Petrol,50,Mixed,177,53.75,3.29,42.22,4.19
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,250,44.76,5.59,21.27,11.76
Maruti Swift,Car,Petrol,22,City_Heavy,469,23.62,19.86,9.35,50.16
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,16,69.09,0.23,35.7,0.45
Toyota Innova,Car,Diesel,15,City_Heavy,158,29.62,5.33,8.85,17.86
Maruti Swift,Car,Petrol,22,Highway_Light,356,79.68,4.47,20.86,17.06
Toyota Innova,Car,Diesel,15,Highway_Light,232,71.43,3.25,13.95,16.63
Honda Activa,Bike,Petrol,50,Mixed,220,53.24,4.13,37.03,5.94
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,196,54.77,3.58,36.95,5.3
Toyota Innova,Car,Diesel,15,Mixed,183,66.83,2.74,12.23,14.96
Honda Activa,Bike,Petrol,50,City_Moderate,96,45.69,2.1,34.56,2.78
Hyundai Creta,Car,Diesel,21,Mixed,264,64.2,4.11,17.91,14.74
Maruti Swift,Car,Petrol,22,City_Moderate,333,26.49,12.57,15.3,21.77
Hyundai Creta,Car,Diesel,21,Highway_Light,341,93.88,3.63,18.91,18.04
Maruti Swift,Car,Petrol,22,City_Moderate,151,32.8,4.6,17.13,8.82
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,329,55.31,5.95,26.29,12.51
Honda Activa,Bike,Petrol,50,Mixed,291,62.02,4.69,41.27,7.05
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,26,87.51,0.3,43.93,0.59
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,58,55.82,1.04,29.56,1.96
